name,publicity
테일러 스위프트,True
리암 니슨,True
오구리 슌,True
저스틴 비버,True
스칼렛 요한슨,True
윌 스미스,True
호리키타 마키,True
에이미 아담스,True
에드 시런,True
레이첼 와이즈,True
제이슨 모모아,True
리한나,True
게리 올드먼,True
아놀드 슈워제네거,True
휴 그랜트,True
제니퍼 로페즈,True
카리나,True
제니퍼 애니스톤,True
벤딕트 컴버배치,True
엘리자베스 올슨,True
로저 무어,True
젠데이아,True
마츠모토 준,True
크리스 헴스워스,True
폴 러드,True
크리스틴 스튜어트,True
벤 애플렉,True
브래드 피트,True
크리스 에반스,True
카디 비,True
마크 러팔로,True
손예진,True
다니엘 래드클리프,True
레오나르도 디카프리오,True
마고 로비,True
미즈하라 키코,True
카미키 류노스케,True
케이트 윈슬렛,True
이완 맥그리거,True
송강호,True
공유,True
사토 타케루,True
마이클 B. 조던,True
니노미야 카즈나리,True
이병헌,True
안나 켄드릭,True
타케우치 유코,True
김연아,True
라이언 고슬링,True
로버트 패틴슨,True
다니엘 크레이그,True
키아누 리브스,True
톰 히들스턴,True
비욘세,True
제이슨 스타뎀,True
샤를리즈 테론,True
헨리 카빌,True
톰 하디,True
이정재,True
니콜 키드먼,True
타케이 에미,True
밀라 요보비치,True
숀 코너리,True
안젤리나 졸리,True
산드라 블록,True
헬레나 본햄 카터,True
제레미 레너,True
셀레나 고메즈,True
시바사키 코우,True
후쿠야마 마사하루,True
마이클 패스벤더,True
기무라 타쿠야,True
제임스 맥어보이,True
빈 디젤,True
에마 스톤,True
아야세 하루카,True
김태리,True
나탈리 포트만,True
피어스 브로스넌,True
맷 데이먼,True
아리아나 그란데,True
로버트 다우니 주니어,True
톰 크루즈,True
이시하라 사토미,True
케이트 블란쳇,True
휴 잭맨,True
전지현,True
아이유,True
주드 로,True
조니 뎁,True
러셀 크로우,True
아라가키 유이,True
레이디 가가,True
브루스 윌리스,True
앤 해서웨이,True
브리 라슨,True
나가사와 마사미,True
콜린 퍼스,True
제니퍼 로렌스,True
제시카 차스테인,True
우에노 주리,True
엠마 왓슨,True
야마시타 토모히사,True
박서준,True
루퍼트 그린트,True
줄리아 로버츠,True
드웨인 존슨,True
채드윅 보스만,True
사와지리 에리카,True
크리스 프랫,True
실베스터 스탤론,True
갤 가돗,True
톰 홀랜드,True
마이클 케인,True
